Date,Open,High,Low,Close,Adj Close,Volume
2019-01-07,41.513378,42.185501,39.497017,39.674931,39.674931,2520806
2019-01-08,39.842960,41.958164,39.842960,41.513378,41.513378,2448367
2019-01-09,42.007587,45.210049,41.790134,44.261169,44.261169,5268339
2019-01-10,44.033836,46.109505,43.569279,45.961243,45.961243,2471839
2019-01-11,45.812981,46.751972,44.537926,44.557693,44.557693,2838487
2019-01-14,44.577461,45.368195,43.905342,45.071671,45.071671,1764443
2019-01-15,45.555992,46.465332,44.982712,45.714138,45.714138,1835263
2019-01-16,45.644951,47.799690,45.644951,47.354904,47.354904,2232870
2019-01-17,47.433979,47.789806,45.644951,46.208344,46.208344,2575136
2019-01-18,46.682785,46.850815,44.300709,45.467033,45.467033,2219819
2019-01-21,45.467033,45.664719,43.124493,43.984413,43.984413,2867523
2019-01-22,42.650055,43.796616,42.254688,43.480324,43.480324,2186128
2019-01-23,43.737312,44.360012,43.203568,43.934994,43.934994,2488026
2019-01-24,44.310593,45.674603,44.280937,45.081554,45.081554,2223764
2019-01-28,44.903641,46.653130,44.083256,45.437382,45.437382,2989537
2019-01-29,45.565876,47.443863,45.437382,47.246181,47.246181,2029817
2019-01-30,47.641544,48.224709,45.318771,47.562473,47.562473,2651723
2019-01-31,47.542706,49.430573,47.256065,49.420689,49.420689,3332106
2019-02-01,49.321850,49.865475,46.593826,47.522938,47.522938,4033128
2019-02-04,47.918301,47.918301,45.961243,47.394444,47.394444,2297114
2019-02-05,47.611893,47.611893,45.101322,45.467033,45.467033,3713424
2019-02-06,44.923409,45.032131,43.460556,43.934994,43.934994,3997718
2019-02-07,43.984413,45.170509,43.312294,43.589050,43.589050,2857102
2019-02-08,43.865807,44.656536,42.501793,44.468739,44.468739,1885040
2019-02-11,44.429199,44.626884,43.243103,43.836151,43.836151,1605805
2019-02-12,44.439083,45.862400,43.895458,45.862400,45.862400,1678244
2019-02-13,45.911819,46.307186,44.864101,45.832748,45.832748,1986414
2019-02-14,46.455448,47.137455,44.844334,46.949657,46.949657,1610459
2019-02-15,46.751972,47.315369,46.307186,46.801395,46.801395,1461837
2019-02-18,46.692669,47.127571,45.832748,46.920002,46.920002,549972
2019-02-19,47.088036,48.629959,46.939770,46.999077,46.999077,2258365
2019-02-20,47.690968,47.858997,44.478622,44.478622,44.478622,3097386
2019-02-21,44.972828,45.022247,43.421017,43.747196,43.747196,2552169
2019-02-22,43.984413,46.158924,43.678005,45.931587,45.931587,1995318
2019-02-25,46.208344,47.779922,46.208344,46.682785,46.682785,2756335
2019-02-26,46.840931,47.394444,46.099621,46.583942,46.583942,1690283
2019-02-27,46.534523,47.740387,46.307186,47.740387,47.740387,2206363
2019-02-28,47.779922,48.580540,47.325253,47.789806,47.789806,2665482
2019-03-01,47.898533,49.549183,47.819462,48.738686,48.738686,2361561
2019-03-06,null,null,null,null,null,null
2019-03-07,47.443863,48.293900,46.811279,47.463631,47.463631,1513940
2019-03-08,46.761856,49.321850,46.761856,49.321850,49.321850,1259593
2019-03-11,49.321850,50.290493,49.015442,49.895130,49.895130,892945
2019-03-12,48.629959,48.906715,47.345020,47.345020,47.345020,2906576
2019-03-13,47.443863,48.195057,45.743790,45.743790,45.743790,2718497
2019-03-14,46.139156,47.097919,45.467033,47.097919,47.097919,1560884
2019-03-15,47.236298,47.295601,45.961243,46.406029,46.406029,1500586
2019-03-18,46.455448,48.115986,46.208344,47.997375,47.997375,1422784
2019-03-19,48.036911,49.321850,47.592125,49.321850,49.321850,2086373
2019-03-20,49.015442,50.290493,48.610191,49.321850,49.321850,2827661
2019-03-21,47.938068,47.938068,45.971127,46.208344,46.208344,4480916
2019-03-22,45.368195,45.368195,41.987820,42.007587,42.007587,3881774
2019-03-25,42.195385,43.104725,40.524967,40.712765,40.712765,2713337
2019-03-26,41.463959,42.630287,41.414539,41.720947,41.720947,2618741
2019-03-27,41.414539,41.414539,38.597561,38.706284,38.706284,5569226
2019-03-28,39.151070,41.286045,37.935322,40.979637,40.979637,3261994
2019-03-29,41.612221,42.304111,40.712765,41.730831,41.730831,4275739
2019-04-01,42.373299,42.699474,41.206970,41.513378,41.513378,2353973
2019-04-02,41.612221,42.175617,40.010990,40.811607,40.811607,2072107
2019-04-03,41.513378,41.908745,40.267979,40.376705,40.376705,1813106
2019-04-04,40.604038,40.920330,39.754002,40.604038,40.604038,1430170
2019-04-05,40.910446,41.740715,40.238327,40.722649,40.722649,1832532
2019-04-08,40.870911,40.880795,38.558022,38.696400,38.696400,2196448
2019-04-09,38.844662,38.992924,36.680035,37.559723,37.559723,2916895
2019-04-10,37.945206,38.301037,36.205597,36.225365,36.225365,5559007
2019-04-11,36.403278,38.162659,35.128227,38.152775,38.152775,6161285
2019-04-12,37.451000,37.846363,36.343975,37.164360,37.164360,2717687
2019-04-15,37.559723,37.915554,35.899189,36.502121,36.502121,2158508
2019-04-16,36.324207,36.610847,35.167763,35.167763,35.167763,2718800
2019-04-17,35.533478,36.363743,35.197414,35.859653,35.859653,3770890
2019-04-18,36.057335,37.945206,35.741043,37.460884,37.460884,2920537
2019-04-22,37.510303,37.747524,36.383511,36.670151,36.670151,1605096
2019-04-23,36.877720,38.686516,36.877720,38.686516,38.686516,2331311
2019-04-24,38.666748,38.992924,36.680035,37.213779,37.213779,2206363
2019-04-25,36.867836,37.411461,36.146294,36.709690,36.709690,2166096
2019-04-26,36.808529,37.213779,36.245132,36.828297,36.828297,1550362
2019-04-29,37.203896,37.213779,36.600964,37.174244,37.174244,934426
